2023-10-01 22:47:35,532.smartsmoker_producer.INFO ==================================================
2023-10-01 22:47:35,532.smartsmoker_producer.INFO Today is 2023-10-01 at 10:47 PM
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Running on: nt Windows 10
2023-10-01 22:47:35,533.smartsmoker_producer.INFO Python version:  3.10.9
2023-10-01 22:48:58,143.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-10-01 22:48:58,179.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-10-01 22:49:00,221.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:39,115.5]'....
2023-10-01 22:49:00,249.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-10-01 22:49:00,270.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:39,No data received from row]'....
2023-10-01 22:49:02,299.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:40,112.6]'....
2023-10-01 22:49:02,307.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-10-01 22:49:02,317.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-10-01 22:49:04,329.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:40,112.6]'....
2023-10-01 22:49:04,340.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-10-01 22:49:04,353.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:40,No data received from row]'....
2023-10-01 22:49:06,364.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:41,118.8]'....
2023-10-01 22:49:06,373.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-10-01 22:49:06,383.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-10-01 22:49:08,400.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:41,118.8]'....
2023-10-01 22:49:08,410.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-10-01 22:49:08,418.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:41,No data received from row]'....
2023-10-01 22:49:10,428.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:42,113.2]'....
2023-10-01 22:49:10,440.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-10-01 22:49:10,456.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-10-01 22:49:12,479.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:42,113.2]'....
2023-10-01 22:49:12,490.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-10-01 22:49:12,502.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:42,No data received from row]'....
2023-10-01 22:49:14,527.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:43,126.7]'....
2023-10-01 22:49:14,557.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-10-01 22:49:14,581.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-10-01 22:49:16,606.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:43,126.7]'....
2023-10-01 22:49:16,620.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-10-01 22:49:16,629.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:43,No data received from row]'....
2023-10-01 22:49:18,642.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:44,130.0]'....
2023-10-01 22:49:18,676.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-10-01 22:49:18,701.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-10-01 22:49:20,730.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:44,130.0]'....
2023-10-01 22:49:20,743.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-10-01 22:49:20,755.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:44,No data received from row]'....
2023-10-01 22:49:22,771.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:45,130.0]'....
2023-10-01 22:49:22,789.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-10-01 22:49:22,806.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-10-01 22:49:24,840.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:45,130.0]'....
2023-10-01 22:49:24,850.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-10-01 22:49:24,860.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:45,No data received from row]'....
2023-10-01 22:49:26,882.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:46,137.3]'....
2023-10-01 22:49:26,892.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-10-01 22:49:26,901.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-10-01 22:49:28,911.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:46,137.3]'....
2023-10-01 22:49:28,943.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-10-01 22:49:28,967.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:46,No data received from row]'....
2023-10-01 22:49:30,999.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:47,139.5]'....
2023-10-01 22:49:31,008.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-10-01 22:49:31,016.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-10-01 22:49:33,032.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:47,139.5]'....
2023-10-01 22:49:33,062.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-10-01 22:49:33,079.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:47,No data received from row]'....
2023-10-01 22:49:35,106.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:48,141.8]'....
2023-10-01 22:49:35,115.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-10-01 22:49:35,127.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-10-01 22:49:37,144.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:48,141.8]'....
2023-10-01 22:49:37,164.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-10-01 22:49:37,184.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:48,No data received from row]'....
2023-10-01 22:49:39,212.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:49,143.6]'....
2023-10-01 22:49:39,233.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-10-01 22:49:39,254.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-10-01 22:49:41,277.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:49,143.6]'....
2023-10-01 22:49:41,307.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-10-01 22:49:41,329.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:49,No data received from row]'....
2023-10-01 22:49:43,351.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:50,145.0]'....
2023-10-01 22:49:43,362.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-10-01 22:49:43,371.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-10-01 22:49:45,387.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:50,145.0]'....
2023-10-01 22:49:45,397.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-10-01 22:49:45,408.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:50,No data received from row]'....
2023-10-01 22:49:47,428.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:51,146.2]'....
2023-10-01 22:49:47,443.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-10-01 22:49:47,464.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-10-01 22:49:49,493.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:51,146.2]'....
2023-10-01 22:49:49,509.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-10-01 22:49:49,526.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:51,No data received from row]'....
2023-10-01 22:49:51,551.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:52,147.5]'....
2023-10-01 22:49:51,562.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-10-01 22:49:51,584.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-10-01 22:49:53,611.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:52,147.5]'....
2023-10-01 22:49:53,622.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-10-01 22:49:53,632.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:52,No data received from row]'....
2023-10-01 22:49:55,654.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:53,148.7]'....
2023-10-01 22:49:55,667.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
2023-10-01 22:49:55,685.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
2023-10-01 22:49:57,702.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:53,148.7]'....
2023-10-01 22:49:57,711.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
2023-10-01 22:49:57,719.smartsmoker_producer.INFO Prepared binary message b'[5/22/2021 12:53,No data received from row]'....
